Author,Numbers of Times of Author on List,Category,,,Category,Number of Times on Bestsellers List
School Zone,2,,,,,
Sherri Duskey Rinker,2,,,,,
Sheryl Sandberg,2,,,,,
Susan Cain,2,,,,,
Ta-Nehisi Coates,2,,,,,
Tara Westover,2,,,,,
Timothy Ferriss,2,,,,,
Todd Burpo,2,,,,,
William Davis,2,,,,,
William P. Young,2,,,,,
Zhi Gang Sha,2,,,,,
Adam Gasiewski,1,,,,,
Adam Mansbach,1,,,,,
Adir Levy,1,,,,,
Admiral William H. McRaven,1,,,,,
Adult Coloring Book Designs,1,,,,,
Alan Moore,1,,,,,
Alex Michaelides,1,,,,,
Alice Schertle,1,,,,,
Allie Brosh,1,,,,,
Amor Towles,1,,,,,
Amy Shields,1,,,,,
Andy Weir,1,,,,,
Angie Grace,1,,,,,
Angie Thomas,1,,,,,
Anthony Bourdain,1,,,,,
Atul Gawande,1,,,,,
Audrey Niffenegger,1,,,,,
Bessel van der Kolk M.D.,1,,,,,
Bill Simmons,1,,,,,
Bob Woodward,1,,,,,
Brené Brown,1,,,,,
Brian Kilmeade,1,,,,,
Bruce Springsteen,1,,,,,
Celeste Ng,1,,,,,
Charles Duhigg,1,,,,,
Charles Krauthammer,1,,,,,
Cheryl Strayed,1,,,,,
Chip Gaines,1,,,,,
Chip Heath,1,,,,,
Chris Cleave,1,,,,,
Chris Kyle,1,,,,,
Chrissy Teigen,1,,,,,
Christina Baker Kline,1,,,,,
Christopher Paolini,1,,,,,
Coloring Books for Adults,1,,,,,
Crispin Boyer,1,,,,,
Daniel H. Pink,1,,,,,
Dave Ramsey,1,,,,,
David Goggins,1,,,,,
David Grann,1,,,,,
David McCullough,1,,,,,
David Perlmutter MD,1,,,,,
Delegates of the Constitutional,1,,,,,
Delia Owens,1,,,,,
Dinah Bucholz,1,,,,,
Edward Klein,1,,,,,
Edward M. Kennedy,1,,,,,
Elie Wiesel,1,,,,,
Elizabeth Strout,1,,,,,
Eric Larson,1,,,,,
F. A. Hayek,1,,,,,
Gayle Forman,1,,,,,
Geneen Roth,1,,,,,
George Orwell,1,,,,,
George W. Bush,1,,,,,
Golden Books,1,,,,,
Heidi Murkoff,1,,,,,
Hillary Rodham Clinton,1,,,,,
Hopscotch Girls,1,,,,,
Howard Stern,1,,,,,
Ian K. Smith M.D.,1,,,,,
James Comey,1,,,,,
James Dashner,1,,,,,
Jay Asher,1,,,,,
Jaycee Dugard,1,,,,,
Jill Twiss,1,,,,,
JJ Smith,1,,,,,
John Heilemann,1,,,,,
Jon Meacham,1,,,,,
Jon Stewart,1,,,,,
Jonathan Cahn,1,,,,,
Jordan B. Peterson,1,,,,,
Julia Child,1,,,,,
Justin Halpern,1,,,,,
Keith Richards,1,,,,,
Ken Follett,1,,,,,
Kevin Kwan,1,,,,,
Khaled Hosseini,1,,,,,
Larry Schweikart,1,,,,,
Lin-Manuel Miranda,1,,,,,
M Prefontaine,1,,,,,
Madeleine L'Engle,1,,,,,
Margaret Atwood,1,,,,,
Mark Hyman M.D.,1,,,,,
Mark Owen,1,,,,,
Mark Twain,1,,,,,
Marty Noble,1,,,,,
Mary Ann Shaffer,1,,,,,
Maurice Sendak,1,,,,,
Michael Lewis,1,,,,,
Michael Pollan,1,,,,,
Michael Wolff,1,,,,,
Mike Moreno,1,,,,,
Mitch Albom,1,,,,,
Muriel Barbery,1,,,,,
Nathan W. Pyle,1,,,,,
National Geographic Kids,1,,,,,
Neil deGrasse Tyson,1,,,,,
Paper Peony Press,1,,,,,
Patrick Thorpe,1,,,,,
Paul Kalanithi,1,,,,,
Paula McLain,1,,,,,
Paulo Coelho,1,,,,,
Pete Souza,1,,,,,
Peter A. Lillback,1,,,,,
Phil Robertson,1,,,,,
Pierre Dukan,1,,,,,
Pretty Simple Press,1,,,,,
Raina Telgemeier,1,,,,,
Randall Munroe,1,,,,,
Randy Pausch,1,,,,,
Rob Bell,1,,,,,
Robert Jordan,1,,,,,
Ron Chernow,1,,,,,
Sara Gruen,1,,,,,
Sarah Palin,1,,,,,
Sasha O'Hara,1,,,,,
Silly Bear,1,,,,,
Stephen Kendrick,1,,,,,
Steve Harvey,1,,,,,
Steven D. Levitt,1,,,,,
Tatiana de Rosnay,1,,,,,
The Staff of The Late Show with,1,,,,,
The Washington Post,1,,,,,
Thomas Campbell,1,,,,,
Thomas Piketty,1,,,,,
Tina Fey,1,,,,,
Tony Hsieh,1,,,,,
Tucker Carlson,1,,,,,
W. Cleon Skousen,1,,,,,
